# Muon transport coefficients from PROPOSAL in StandardRock (rho = 2.65 g/cm^3), per km of water-equivalent column at rho = 1.02 g/cm^3.
# Bremsstrahlung + e+e- pair production (Kelner-Kokoulin-Petrukhin, with LPM suppression) + photonuclear (ALLM97, Butkevich-Mikheyev shadowing); no ionization.
# b_mu = <y>, d_mu = <y^2>, t_mu = <y^3> per unit length.
# The last three are the log-loss moments the first-passage range needs, Phi^(n)(0) = <(-ln(1-y))^n>, which no family calibrated to the y-moments reproduces: a two-moment fit is 8% low on the first and 56% low on the second.
# E [GeV], b_mu [km^-1], d_mu [km^-1], t_mu [km^-1], phi1 [km^-1], phi2 [km^-1], phi3 [km^-1]
1.333521432163324058e+08,5.240775653433957793e-01,1.299675563543271906e-01,7.930628989439181264e-02,6.771956068560329722e-01,5.478037279677472338e-01,1.366651465577909397e+00
1.778279410038922727e+08,5.277781905550713581e-01,1.313679286498582177e-01,8.016329920896744787e-02,6.821004310863518771e-01,5.531892631277109951e-01,1.378377051914536411e+00
2.371373705661655366e+08,5.312606856885696560e-01,1.328265310117189846e-01,8.105733072651249982e-02,6.871980884398207756e-01,5.588113180854952233e-01,1.390604467748126849e+00
3.162277660168379545e+08,5.348738741806237096e-01,1.343464613062985424e-01,8.199044886255413278e-02,6.924992010612184279e-01,5.646848353441616952e-01,1.403375962439813440e+00
4.216965034285822511e+08,5.386259006596046950e-01,1.359310517058290035e-01,8.296482474524194406e-02,6.980149517320043406e-01,5.708252100194484147e-01,1.416733640739067379e+00
5.623413251903491020e+08,5.425243461828345160e-01,1.375839424213732010e-01,8.398276965682284489e-02,7.037572161022348505e-01,5.772486495754920455e-01,1.430720836239864457e+00
7.498942093324558735e+08,5.465771562087916591e-01,1.393088547838303715e-01,8.504672914243145698e-02,7.097385629806337581e-01,5.839721573556748702e-01,1.445382163918347063e+00
1.000000000000000000e+09,5.507927024154614104e-01,1.411098515415411814e-01,8.615928870208197643e-02,7.159722519249396289e-01,5.910132143095080393e-01,1.460761316692569256e+00
1.333521432163324118e+09,5.551799454872816675e-01,1.429911947862737842e-01,8.732322696328931322e-02,7.224725106483943504e-01,5.983910593638602782e-01,1.476907770007104936e+00
1.778279410038922787e+09,5.597484083490646967e-01,1.449574237893916373e-01,8.854147481500955486e-02,7.292543427254346566e-01,6.061255523679567325e-01,1.493870809243035724e+00
2.371373705661655426e+09,5.645082268839276551e-01,1.470133946627117660e-01,8.981715215894767179e-02,7.363337064344354088e-01,6.142378357707951597e-01,1.511702685191507634e+00
3.162277660168379307e+09,5.694701317323734857e-01,1.491642684303537691e-01,9.115358590260191907e-02,7.437275820389914749e-01,6.227504033036975750e-01,1.530458531905523278e+00
4.216965034285822392e+09,5.746456382059260681e-01,1.514155187247475942e-01,9.255430890180588177e-02,7.514557248889964791e-01,6.316870553089659612e-01,1.550196157218057591e+00
5.623413251903491020e+09,5.800502589997896807e-01,1.537729942456228793e-01,9.402309455053607656e-02,7.595351920939650281e-01,6.410733673226002294e-01,1.570978195216281348e+00
7.498942093324558258e+09,5.856882434544585792e-01,1.562428660509192213e-01,9.556394373251987651e-02,7.679853181913240956e-01,6.509362376410023909e-01,1.592869614208225482e+00
1.000000000000000000e+10,5.915799322061077170e-01,1.588317504202437780e-01,9.718112763661168607e-02,7.768290615171600244e-01,6.613043976521167933e-01,1.615939475591986252e+00
1.333521432163323975e+10,5.977381757334471191e-01,1.615467368421831806e-01,9.887919380454492091e-02,7.860893640160970808e-01,6.722086125485869923e-01,1.640262698401359076e+00
1.778279410038922882e+10,6.041781332859380571e-01,1.643952673641684570e-01,1.006629801581454126e-01,7.957905271094003474e-01,6.836813492328239761e-01,1.665916886903494376e+00
2.371373705661655426e+10,6.109157336848730635e-01,1.673853365500766743e-01,1.025376474777403568e-01,8.059583646321012429e-01,6.957574613834104360e-01,1.692986348344014846e+00
3.162277660168379211e+10,6.179683541242957379e-01,1.705254510046607663e-01,1.045086914504202019e-01,8.166202160948071720e-01,7.084740108224548694e-01,1.721560417613735350e+00
4.216965034285822296e+10,6.253541563303390838e-01,1.738246374424502472e-01,1.065819678002928317e-01,8.278050261136630228e-01,7.218705444250872461e-01,1.751734747493458366e+00
5.623413251903490448e+10,6.330898624944902853e-01,1.772925289816406347e-01,1.087637141355609349e-01,8.395433799805308572e-01,7.359890882248643074e-01,1.783610278357327772e+00
7.498942093324559021e+10,6.412190874094528814e-01,1.809394736613286758e-01,1.110605788391227366e-01,8.518675760542322450e-01,7.508745502614857514e-01,1.817295565603153973e+00
1.000000000000000000e+11,6.497361514788776438e-01,1.847762330345323889e-01,1.134796475439139446e-01,8.648116504513688740e-01,7.665748250384228912e-01,1.852906485722471741e+00
1.333521432163323975e+11,6.586582593893948179e-01,1.888143397848174587e-01,1.160284702259335166e-01,8.784113865314063796e-01,7.831409909222841748e-01,1.890566883731477521e+00
1.778279410038922729e+11,6.680070141519398597e-01,1.930660898689625093e-01,1.187150864126013949e-01,8.927042813136755184e-01,8.006273796740365212e-01,1.930408250567920536e+00
2.371373705661655273e+11,6.778153083203328766e-01,1.975446205031388680e-01,1.215480587263611939e-01,9.077295469844010034e-01,8.190920035105998531e-01,1.972571894455249719e+00
3.162277660168379517e+11,6.880950152367774075e-01,2.022636871589013619e-01,1.245364980547224026e-01,9.235280054406334038e-01,8.385966307013238419e-01,2.017208482787660628e+00
4.216965034285822754e+11,6.988826601126270077e-01,2.072379516130270494e-01,1.276901175897878493e-01,9.401424178510536800e-01,8.592071100642673098e-01,2.064478666576333055e+00
